"","HIGH_vs_LOW","HIGH_vs_MOD","MOD_vs_LOW"
" ENSG00000142552.8|RCN3",0.000545997564006639,0.000126123232658149,0.0184515306046487
" ENSG00000078140.14|UBE2K",0.00145145596557927,0.000402229113404397,0.0285645740524775
" ENSG00000136160.17|EDNRB",2.00379388138135e-05,1.57709576689638e-05,0.0043050570291107
" ENSG00000166847.10|DCTN5",0.00045896489075365,0.000234623960560569,0.00352960545977987
" ENSG00000120907.18|ADRA1A",2.62831353083711e-05,7.52832834383638e-06,0.00065790692231054
" ENSG00000120875.9|DUSP4",0.0132019297911714,0.000320083222916926,0.0068320486311082
" ENSG00000186188.11|FFAR4",0.000231229730644942,0.000109550089345656,0.00434885745028601
" ENSG00000114956.20|DGUOK",0.00236222306313671,0.000201070333363355,0.0767035465807255
" ENSG00000198838.14|RYR3",0.00116736599980771,8.24818474632365e-05,0.0034979993049909
" ENSG00000134108.14|ARL8B",0.000108430091460643,0.000138792981461211,0.0150776020697422
" ENSG00000043093.15|DCUN1D1",0.000325817976784706,0.000237312460097394,0.0519939780286494
" ENSG00000067955.15|CBFB",2.8228564342594e-05,1.98155938292408e-05,0.000952820462977102
" ENSG00000145495.17|MARCHF6",0.000142198674713077,0.000181247931139605,0.0127538162830202
" ENSG00000225733.8|FGD5-AS1",0.000487908729935808,0.000175748869547267,0.00300168976088744
" ENSG00000166266.14|CUL5",4.40574182853468e-05,6.20720023294385e-05,0.00101216999457598
" ENSG00000188130.14|MAPK12",0.00149753316773482,9.31009618033829e-05,0.0110999624606902
" ENSG00000104228.13|TRIM35",0.000363567039957036,9.50794006426192e-05,0.0138204410306213
" ENSG00000172175.16|MALT1",0.000149281794490113,0.000165940964319766,0.00790295267760488
" ENSG00000072163.20|LIMS2",6.04206925309825e-05,3.89684444515037e-05,0.0205781453328661
" ENSG00000196177.13|ACADSB",8.51759271806518e-05,0.000143562421290544,0.0044536457842671
" ENSG00000187010.21|RHD",0.0142387656980726,0.000449812069427513,0.111887825282125
" ENSG00000279108.1|ENSG00000279108",0.00514866604213978,0.000205274047471213,0.024508410144311
" ENSG00000197601.14|FAR1",0.001661288892585,0.000416271565635576,0.00656761047551879
" ENSG00000158186.13|MRAS",0.000758562920419313,0.000261267846073547,0.00386199389568598
" ENSG00000131375.10|CAPN7",0.000155962651935608,0.00012732595455589,0.00255948267573163
" ENSG00000205269.6|TMEM170B",0.000552476996263933,6.23683186530937e-05,0.00396195947686095
" ENSG00000008277.15|ADAM22",0.00310730894312162,0.000322245903199785,0.023708418922067
" ENSG00000061676.16|NCKAP1",8.58321262345074e-05,4.45411903325921e-05,0.016292100638339
" ENSG00000171960.12|PPIH",0.000143647346375841,5.65549318197744e-05,0.0019175307298176
" ENSG00000170871.12|KIAA0232",3.15404870504279e-05,2.90439849195755e-05,0.000247750514591583
" ENSG00000149591.17|TAGLN",0.00418325423910526,0.000177621394930255,0.100652364911936
" ENSG00000153956.17|CACNA2D1",0.00122683057348375,0.000332623458370374,0.011514888986885
" ENSG00000079332.16|SAR1A",0.000501891168364748,0.000211849683057246,0.0036564163527858
" ENSG00000010704.19|HFE",0.00303498991782591,0.000319147297579879,0.10851441610906
" ENSG00000153707.19|PTPRD",0.00520222896446252,0.000297972830402457,0.170178708859188
" ENSG00000177337.10|DLGAP1-AS1",0.00701389413400688,0.000344091880969288,0.15122561707784
" ENSG00000108061.13|SHOC2",0.000257625853610416,0.000140599525707478,0.00135364102106306
" ENSG00000138279.16|ANXA7",0.000838766213011966,0.000340208585965556,0.00601131098402152
" ENSG00000187244.12|BCAM",7.20023789996249e-05,4.2477223798354e-05,0.00233440684774233
" ENSG00000196865.4|NHLRC2",0.000245728914504562,0.000226788836278136,0.00983730048360765
" ENSG00000064651.14|SLC12A2",0.00125231018650448,0.000239088831380656,0.00366409298613879
" ENSG00000107651.15|SEC23IP",0.00203853825546269,0.000500533462282044,0.322291440027355
" ENSG00000179922.6|ZNF784",0.00306942007236055,8.01974517517687e-05,0.00433590378254467
" ENSG00000006831.10|ADIPOR2",7.87687071179813e-05,4.05431896022674e-05,0.00691633485033072
" ENSG00000106299.8|WASL",0.00298683256861841,0.000715229619792422,0.0112024722373844
" ENSG00000182986.15|ZNF320",0.00030198369440626,0.000286910917450777,0.00570805515401927
" ENSG00000251056.1|ANKRD20A17P",0.00284154982791252,9.16299632074257e-05,0.0227782346824217
" ENSG00000206527.10|HACD2",0.00230501447592345,0.000451918831244588,0.147297675893917
" ENSG00000198380.13|GFPT1",0.00113338277347848,0.000287680741379277,0.0736266637100029
" ENSG00000112531.17|QKI",1.91589604528731e-05,0.000152790635206679,0.00190242286577358
" ENSG00000092439.16|TRPM7",2.96700220053318e-05,0.00012508047445183,0.0371883980155828
" ENSG00000204264.12|PSMB8",0.0023683258257835,0.000588269797483394,0.0130185876357799
" ENSG00000101846.9|STS",0.000826600299766363,0.000196056720886839,0.0132463385079193
" ENSG00000138069.18|RAB1A",6.03203338220844e-05,0.000367163526561187,0.0258024514758259
