"","HIGH","LOW","MOD"
" ENSG00000126368.6|NR1D1",0,0,0
" ENSG00000067182.9|TNFRSF1A",1.63790743070499e-06,4.28513672656727e-07,5.63057021230051e-07
" ENSG00000204580.14|DDR1",4.59394976937244e-06,9.41821187705472e-09,6.81003955675913e-08
" ENSG00000127314.18|RAP1B",7.70612432500704e-07,2.90158439497645e-08,1.42531331016981e-07
" ENSG00000133195.12|SLC39A11",1.25152840033061e-05,0.000195051911564296,4.53321841398235e-07
" ENSG00000155229.21|MMS19",1.54400270291344e-06,2.11032942676326e-07,5.00895171340332e-07
" ENSG00000126778.12|SIX1",1.83269569050681e-05,3.38783309785734e-07,3.3840247504191e-07
" ENSG00000243927.6|MRPS6",8.0768097898698e-07,4.14052505281069e-08,1.44863196327328e-05
" ENSG00000214944.10|ARHGEF28",1.5937750684758e-06,2.80270321395548e-07,1.75451709050201e-07
" ENSG00000145819.18|ARHGAP26",7.31368266339757e-05,1.86955202652328e-07,3.08221662859988e-07
" ENSG00000173744.18|AGFG1",4.42101440981703e-06,2.94140332202097e-07,0.00109868105684528
" ENSG00000186470.14|BTN3A2",1.85434529709205e-06,1.2689778117192e-07,1.4833308337181e-07
" ENSG00000122958.15|VPS26A",5.02727220416973e-06,2.37087960153204e-07,3.53963038543228e-06
" ENSG00000185324.22|CDK10",8.74908803427665e-06,4.83957700065073e-06,6.78149642219239e-07
" ENSG00000071073.13|MGAT4A",1.10175856382726e-06,4.8549247511076e-08,7.28264823890434e-07
" ENSG00000163430.13|FSTL1",3.11175955395359e-06,7.61181047637116e-07,7.29339052818467e-07
" ENSG00000100906.12|NFKBIA",1.2311825874689e-05,1.57125459188112e-06,2.82551867754181e-07
" ENSG00000033627.18|ATP6V0A1",1.62316206776406e-06,6.26281827953434e-07,7.15228851921879e-07
" ENSG00000169905.13|TOR1AIP2",3.57037969709946e-05,4.7351152054686e-05,4.86715416057264e-06
" ENSG00000130304.17|SLC27A1",4.23044604414002e-06,1.44952032565815e-06,1.42510287270969e-06
" ENSG00000134297.8|PLEKHA8P1",2.83474418261154e-06,1.97119919320699e-06,3.40167736756491e-07
" ENSG00000086062.13|B4GALT1",3.10331125631129e-06,6.92700861115725e-08,7.68923913090195e-08
" ENSG00000213516.10|RBMXL1",2.88228298029105e-07,5.32936633712566e-08,7.19750006261677e-08
" ENSG00000154096.14|THY1",7.63529203862134e-07,1.42842538698435e-07,9.36071047733729e-08
" ENSG00000089737.19|DDX24",2.45109858803194e-06,8.27551844924181e-06,6.02925472881211e-08
" ENSG00000196083.11|IL1RAP",0.000422889890495653,8.9940913293729e-06,4.06256261076265e-06
" ENSG00000115271.11|GCA",4.3099291603094e-06,7.41083703292844e-08,2.94107227905016e-07
" ENSG00000027075.17|PRKCH",2.97536820692557e-06,5.7450744611609e-06,4.36983619511722e-07
" ENSG00000165650.12|PDZD8",1.56893103757167e-05,8.68653099707605e-06,8.78568625073406e-07
" ENSG00000108946.17|PRKAR1A",9.60858411151718e-06,0.000187723423094734,3.46363075665046e-07
" ENSG00000123405.14|NFE2",0.00600480526088736,1.97106143759449e-06,1.08583556213127e-06
" ENSG00000196352.18|CD55",8.30102851309478e-07,4.00715275405972e-08,4.56144688465443e-07
" ENSG00000121858.11|TNFSF10",6.90674807624081e-06,1.05351366319617e-06,4.00389121498625e-07
" ENSG00000233251.8|ENSG00000233251",1.43424127541092e-06,7.68930136230139e-08,5.49141700641136e-06
" ENSG00000118900.15|UBN1",2.3027527916036e-06,2.78112945409998e-07,2.36473322146047e-07
" ENSG00000100311.17|PDGFB",2.11956326688911e-05,7.08660399900204e-06,1.7993229871327e-06
" ENSG00000130193.8|THEM6",6.96801530886137e-06,6.09025283315745e-06,8.14649167568682e-07
" ENSG00000109929.10|SC5D",5.24012342065715e-05,5.32203620218219e-06,5.09707939716753e-06
" ENSG00000178947.9|SMIM10L2A",4.46743951302286e-05,1.84318563710706e-05,2.98336465109905e-06
" ENSG00000075618.18|FSCN1",5.71050974018661e-06,2.30829814928946e-07,2.48499973704918e-07
" ENSG00000071189.21|SNX13",1.73658798985952e-06,5.76775946406541e-08,4.28388631346088e-07
" ENSG00000253200.1|ENSG00000253200",1.63930317654768e-05,1.53518794472447e-05,6.26603593456565e-07
" ENSG00000138439.12|FAM117B",2.32007154560288e-05,2.51094569149607e-07,1.12583455214033e-06
" ENSG00000121068.14|TBX2",2.46446167795344e-06,1.78746355050663e-06,3.14003941626062e-07
" ENSG00000227268.5|KLLN",3.43077445917296e-05,1.86327498884426e-07,2.81385395983769e-07
" ENSG00000267069.3|ENSG00000267069",0.000725544237685506,2.3155362965932e-06,4.40545691737793e-06
" ENSG00000181751.10|MACIR",0.000105934654266447,3.2919254104296e-07,4.22120590815034e-07
" ENSG00000148400.13|NOTCH1",3.76108806147135e-05,3.29753501449567e-05,1.60415196992503e-06
" ENSG00000221963.6|APOL6",6.44394093057094e-06,5.31423579486212e-06,2.21687859436326e-06
" ENSG00000116679.16|IVNS1ABP",4.36419660858493e-06,1.31334245603944e-06,1.25354536972822e-07
" ENSG00000080371.6|RAB21",4.15409819311423e-06,1.17960501369442e-06,5.51811675131297e-07
" ENSG00000150457.9|LATS2",1.29126199989797e-05,1.29383585992855e-05,3.78535864986596e-07
" ENSG00000057704.13|TMCC3",2.0586006700732e-05,3.18679175798021e-06,5.1903918119045e-07
" ENSG00000144909.8|OSBPL11",7.94861333745414e-06,3.38054403026256e-07,1.44262411057912e-06
" ENSG00000167565.13|SERTAD3",5.78456037281239e-06,5.2013456905325e-08,2.54652940623323e-07
" ENSG00000175782.11|SLC35E3",2.86242658309455e-05,1.00257710278553e-05,3.19445826169051e-06
" ENSG00000159640.17|ACE",3.18205714766595e-06,1.38439946062441e-07,1.20437974195919e-05
" ENSG00000162413.17|KLHL21",0.000284196910275814,1.43830702507008e-05,6.96959642287887e-06
" ENSG00000103550.14|KNOP1",1.8058333361548e-05,2.50594075299399e-05,8.41675943830111e-07
" ENSG00000179094.16|PER1",7.67907676890722e-07,4.00672735712153e-08,1.34881810076516e-06
" ENSG00000146067.17|FAM193B",3.3934819410053e-07,1.6962098878849e-07,2.41429281968101e-07
" ENSG00000171241.9|SHCBP1",0.00080353379159459,1.31459722770844e-05,2.87849043328418e-06
" ENSG00000163421.9|PROK2",0.00771501812089156,4.549808087706e-07,2.58887458237655e-06
" ENSG00000171227.7|TMEM37",7.75323507617998e-07,4.21164116914952e-08,6.74009223988747e-07
" ENSG00000242193.11|CRYZL2P",1.17853433962978e-05,3.93135892662322e-06,1.06350087703904e-06
" ENSG00000103966.11|EHD4",7.55380930694827e-06,1.6975919833953e-06,3.98119239242156e-07
" ENSG00000154258.17|ABCA9",2.31250719241636e-05,2.47729599178736e-06,2.71791700492639e-06
" ENSG00000178573.7|MAF",6.07868011299528e-05,4.04165786565037e-05,2.10017098045689e-06
" ENSG00000122756.15|CNTFR",9.75906066419208e-06,6.58618587146579e-06,3.43483254394705e-07
" ENSG00000013392.8|RWDD2A",6.0278388417604e-05,6.30517724764412e-07,8.98134633859231e-07
" ENSG00000127920.6|GNG11",3.79341142900946e-05,7.30117732017366e-06,2.06635693944806e-06
" ENSG00000100077.16|GRK3",5.84157727189951e-05,4.56278325090292e-05,2.74085303042515e-06
" ENSG00000116106.12|EPHA4",3.43873517416604e-05,6.24126146707011e-06,4.60238748556385e-07
" ENSG00000260027.5|HOXB7",1.41482035150853e-05,2.29164546256062e-05,4.81272685370904e-07
" ENSG00000135503.13|ACVR1B",1.56908905269775e-06,1.66489938169256e-07,3.14825092684323e-06
" ENSG00000124145.6|SDC4",1.56181806519507e-05,7.74987568119556e-07,3.14825982437874e-06
" ENSG00000135245.10|HILPDA",5.140616668875e-05,1.31998329675175e-06,8.64673651901349e-07
" ENSG00000168461.13|RAB31",4.1741746767285e-06,3.41713964460144e-05,1.23052832756709e-06
" ENSG00000058063.16|ATP11B",4.88364144154194e-05,9.3160568582773e-06,1.18740102448918e-05
" ENSG00000152952.14|PLOD2",2.85861573133991e-06,1.08611339388887e-06,1.7597921314616e-06
" ENSG00000153201.17|RANBP2",1.1699603252308e-05,5.20874063225651e-06,7.05157647340471e-06
" ENSG00000176438.13|SYNE3",7.07599095293494e-06,1.99721925275842e-06,1.85317494805215e-06
" ENSG00000070444.15|MNT",4.06549753971808e-05,3.9433229001018e-06,2.16710932476882e-06
" ENSG00000161013.17|MGAT4B",2.75161394891477e-06,3.62416467947213e-07,1.37932130370957e-06
" ENSG00000283294.2|ENSG00000283294",0.00143956727888131,1.29038275753501e-06,3.53000466846165e-06
" ENSG00000251056.1|ANKRD20A17P",0.0004198078963914,1.03662710123631e-05,4.99764312060955e-06
" ENSG00000165072.10|MAMDC2",3.98553163704471e-05,3.33293139787028e-06,3.92099687729353e-06
" ENSG00000179044.16|EXOC3L1",1.03911900358744e-05,2.5227845035225e-07,6.31936994954785e-07
" ENSG00000206120.11|EGFEM1P",8.49716310633575e-05,1.57980280168779e-06,2.35227919465064e-06
" ENSG00000150594.7|ADRA2A",8.30581409792666e-06,1.1336644060167e-06,2.13411395455498e-06
" ENSG00000103196.12|CRISPLD2",2.3825623744865e-05,1.13663468082059e-05,2.32314940218359e-06
" ENSG00000130307.12|USHBP1",7.82645405152937e-05,1.12898524309291e-05,4.38910162270378e-06
" ENSG00000105339.11|DENND3",1.77765247933202e-05,1.34766808157494e-06,2.75704721352608e-06
" ENSG00000196139.14|AKR1C3",8.05675718817955e-06,2.26146450616336e-05,2.29244366645449e-06
" ENSG00000143322.22|ABL2",0.000127085901144993,0.000351752416148718,4.31548706880669e-06
" ENSG00000168268.11|NT5DC2",2.46337249876216e-06,1.61847649126986e-07,3.37390294924411e-07
" ENSG00000170365.10|SMAD1",5.74482031042711e-05,6.32335137734591e-05,2.44812061789279e-06
" ENSG00000160785.14|SLC25A44",1.39189848236074e-05,3.40738399196017e-06,4.98144595184602e-06
" ENSG00000067798.16|NAV3",3.79874483774634e-05,4.46606734505473e-06,1.14898341505666e-06
" ENSG00000197629.6|MPEG1",7.4426853894185e-05,3.98090694164743e-06,2.19767487608102e-06
" ENSG00000169967.17|MAP3K2",4.6567936870528e-06,1.16136306438364e-06,8.6630508010499e-06
" ENSG00000103064.15|SLC7A6",2.08077335746129e-05,1.98272844523784e-05,3.31535976361153e-06
" ENSG00000115459.18|ELMOD3",5.28508350106094e-06,3.52199691300292e-07,1.6965782791209e-05
" ENSG00000227456.9|LINC00310",0.00109787225436253,2.0368417963938e-05,9.6646003312495e-06
