"","Var1","Var2","bicor","pval","obs","sig"
"43","BMI","ME6",0.182996208969793,0.228889660972032,45,""
"44","Waist_circumference","ME6",0.224389451538964,0.138376848165107,45,""
"45","SBP","ME6",0.114716232483299,0.453033532376354,45,""
"46","DBP","ME6",0.150163928637583,0.324829837303709,45,""
"47","Resting_HR","ME6",0.135971534108537,0.373141884538627,45,""
"48","Max_HR","ME6",0.0269563566822206,0.860473048694737,45,""
"49","VO2peak","ME6",-0.0771381216874024,0.614508466098564,45,""
"50","VO2peak_kg_min","ME6",-0.228254896848796,0.131533967227316,45,""
"51","VO2peak_kgLM_min","ME6",0.119476494095867,0.434376034052409,45,""
"52","RMR","ME6",-0.0956400917999036,0.5368658281544,44,""
"53","Fat_OX","ME6",0.0857053793945188,0.580154993913105,44,""
"54","CHO_OX","ME6",-0.194878898902405,0.204918943619684,44,""
"55","HOMA_IR","ME6",0.354157959224876,0.0169938091294486,45,"*"
"56","Adipo_IR","ME6",0.165945294304475,0.275957885720084,45,""
"57","Glucose","ME6",0.293009487940321,0.0507762840866415,45,""
"58","Insulin","ME6",0.337511554688297,0.0233675752013088,45,"*"
"59","NEFA","ME6",0.0377932742154638,0.80531165268969,45,""
"60","Glycerol","ME6",0.11370191556165,0.457064693574965,45,""
"61","Triglyceride","ME6",0.104588207102043,0.499266603315325,44,""
"62","Lactate","ME6",0.200321142112112,0.187035353901871,45,""
"63","Cortisol","ME6",0.358723606534142,0.0167938751832292,44,"*"
"64","IFNg","ME6",-0.0660066199414096,0.666616599355932,45,""
"65","IL10","ME6",0.225754742500269,0.145498334312923,43,""
"66","IL1b","ME6",0.238652265396954,0.114385123678196,45,""
"67","IL6","ME6",0.105253342581726,0.535269192810874,37,""
"68","TNFa","ME6",-0.0475421753216977,0.756467054552444,45,""
"69","FCS_mean","ME6",0.276377522123502,0.0660912926246899,45,""
"70","SR","ME6",-0.284364415099109,0.0583331270025464,45,""
"71","CD14_per_adipocyte","ME6",0.222420281101808,0.146739695475748,44,""
"72","CD206_per_adipocyte","ME6",0.135443798498427,0.380694422968193,44,""
"73","Age","ME11",-0.141721679348557,0.353073593668491,45,""
"74","Sex","ME11",0.538465211875066,0.000135880289258755,45,"***"
"75","Bodyweight","ME11",-0.232516170896252,0.124287073710206,45,""
"76","Lean_mass","ME11",-0.493182492449107,0.000577056514798153,45,"***"
"77","Fat_mass","ME11",0.467967908473785,0.00118852619896083,45,"**"
"78","BodyFat","ME11",0.578438869389857,3.1573718251536e-05,45,"***"
"79","BMI","ME11",0.0843820993958317,0.581559638737279,45,""
"80","Waist_circumference","ME11",-0.152405826407503,0.317574924333685,45,""
"81","SBP","ME11",0.0216254598122833,0.887868246942092,45,""
"82","DBP","ME11",-0.0134994187257555,0.929866737165246,45,""
"83","Resting_HR","ME11",0.237933007539186,0.115513799761618,45,""
"84","Max_HR","ME11",-0.134829980785564,0.37720545791127,45,""
"85","VO2peak","ME11",-0.38457497421838,0.00909733922271201,45,"**"
"86","VO2peak_kg_min","ME11",-0.281959692211831,0.0605880251175386,45,""
"87","VO2peak_kgLM_min","ME11",0.1130471150326,0.459677329448582,45,""
"88","RMR","ME11",-0.230099093786058,0.132939835092354,44,""
"89","Fat_OX","ME11",-0.124979976983988,0.418898452972369,44,""
"90","CHO_OX","ME11",-0.0123665784325269,0.936498088728352,44,""
