"","Var1","Var2","bicor","pval","obs","sig"
"399","Bodyweight","ME10",0.177224613219179,0.244160137337183,45,""
"400","Lean_mass","ME10",0.254641502352495,0.0913973358820977,45,""
"401","Fat_mass","ME10",-0.143454356624682,0.347158104318938,45,""
"402","BodyFat","ME10",-0.22855723918687,0.131009607764782,45,""
"403","BMI","ME10",0.0542363400988423,0.723450652700371,45,""
"404","Waist_circumference","ME10",0.130288529354046,0.393630440207342,45,""
"405","SBP","ME10",0.0662503365451693,0.665457777997145,45,""
"406","DBP","ME10",0.00576268173986047,0.970030766206654,45,""
"407","Resting_HR","ME10",0.177869908503604,0.242419378000877,45,""
"408","Max_HR","ME10",0.175648064025004,0.248448608478727,45,""
"409","VO2peak","ME10",0.254072112096374,0.0921490956134537,45,""
"410","VO2peak_kg_min","ME10",0.155572427232972,0.30750364760027,45,""
"411","VO2peak_kgLM_min","ME10",0.0400200032894749,0.794083030005008,45,""
"412","RMR","ME10",0.290314251829622,0.0559163378019577,44,""
"413","Fat_OX","ME10",0.0843020117396183,0.586394661256854,44,""
"414","CHO_OX","ME10",0.199400495539162,0.194399899297914,44,""
"415","HOMA_IR","ME10",-0.0852971345678799,0.577455016215263,45,""
"416","Adipo_IR","ME10",-0.159406944806074,0.295584272425983,45,""
"417","Glucose","ME10",-0.337529502769672,0.0233597524117058,45,"*"
"418","Insulin","ME10",-0.029150429901793,0.849242840292717,45,""
"419","NEFA","ME10",-0.0861111476665047,0.573814653527497,45,""
"420","Glycerol","ME10",-0.0574284639340019,0.707875718545993,45,""
"421","Triglyceride","ME10",-0.0629643045149537,0.684714986898008,44,""
"422","Lactate","ME10",0.0146876340535305,0.923711070474714,45,""
"423","Cortisol","ME10",0.190026695092447,0.21664384892908,44,""
"424","IFNg","ME10",-0.0942378874105322,0.538059239492861,45,""
"425","IL10","ME10",0.0854776386183659,0.585755747923763,43,""
"426","IL1b","ME10",-0.0873720306666095,0.568196639091784,45,""
"427","IL6","ME10",0.127642886195123,0.451533917687,37,""
"428","TNFa","ME10",-0.0540242039825523,0.724489709223295,45,""
"429","FCS_mean","ME10",-0.0206134280307395,0.893084648758576,45,""
"430","SR","ME10",-0.138909007330011,0.362806270164111,45,""
"431","CD14_per_adipocyte","ME10",-0.138841484794695,0.368747945178701,44,""
"432","CD206_per_adipocyte","ME10",-0.117897717367147,0.445943495320095,44,""
"433","Age","ME7",0.206029553600218,0.174522351550511,45,""
"434","Sex","ME7",0.45119251636562,0.00186613656262835,45,"**"
"435","Bodyweight","ME7",-0.527221128203035,0.000198347790991068,45,"***"
"436","Lean_mass","ME7",-0.234663935765549,0.120750386636854,45,""
"437","Fat_mass","ME7",-0.460028368706017,0.00147561256439264,45,"**"
"438","BodyFat","ME7",-0.299158319954351,0.0458989342141587,45,"*"
"439","BMI","ME7",-0.450022244006326,0.00192418871372132,45,"**"
"440","Waist_circumference","ME7",-0.713168860645776,3.85716325101799e-08,45,"***"
"441","SBP","ME7",-0.156974484322253,0.303110338990462,45,""
"442","DBP","ME7",-0.247050078246771,0.101818927725105,45,""
"443","Resting_HR","ME7",-0.15694067903471,0.303215791005693,45,""
"444","Max_HR","ME7",-0.25572757320327,0.0899766019995957,45,""
"445","VO2peak","ME7",-0.199346945957281,0.189233072315089,45,""
"446","VO2peak_kg_min","ME7",0.278628207606156,0.0638264773595536,45,""
"447","VO2peak_kgLM_min","ME7",0.0174828782918475,0.909248025374832,45,""
"448","RMR","ME7",-0.286207547068732,0.0596402453738818,44,""
"449","Fat_OX","ME7",-0.229043605952474,0.134777038492206,44,""
"450","CHO_OX","ME7",-0.00544281651021606,0.97202836882836,44,""
"451","HOMA_IR","ME7",-0.31261442318654,0.0365469412240409,45,"*"
"452","Adipo_IR","ME7",0.103206037499249,0.499898176329403,45,""
"453","Glucose","ME7",-0.245871151785462,0.103516078905027,45,""
"454","Insulin","ME7",-0.280621349766407,0.0618728395503581,45,""
"455","NEFA","ME7",0.226407641079556,0.134771840722225,45,""
"456","Glycerol","ME7",0.0588254175427378,0.701096208925086,45,""
"457","Triglyceride","ME7",-0.29315378756245,0.0534523817039416,44,""
"458","Lactate","ME7",-0.281686343965592,0.0608486925112706,45,""
"459","Cortisol","ME7",-0.262925680808113,0.0846487597495528,44,""
"460","IFNg","ME7",0.20911599915315,0.168013503683704,45,""
"461","IL10","ME7",-0.0333378950885021,0.831928964224723,43,""
"462","IL1b","ME7",0.070599896032823,0.644908269770446,45,""
"463","IL6","ME7",-0.129402236114808,0.445269665532161,37,""
"464","TNFa","ME7",0.0862828982091599,0.573047907076802,45,""
"465","FCS_mean","ME7",-0.476704095450089,0.000931081179141681,45,"***"
"466","SR","ME7",0.474309029918454,0.000996167360341947,45,"***"
"467","CD14_per_adipocyte","ME7",-0.105298892407736,0.496339302588254,44,""
"468","CD206_per_adipocyte","ME7",-0.102292392530235,0.508783064907275,44,""
"469","Age","ME5",0.295165789468861,0.0490203186685511,45,"*"
"470","Sex","ME5",-0.115321910748274,0.450635673291509,45,""
"471","Bodyweight","ME5",0.0196503033161488,0.898053114932197,45,""
"472","Lean_mass","ME5",0.231082136030047,0.12669150412534,45,""
"473","Fat_mass","ME5",-0.43036238571079,0.00316903736684253,45,"**"
"474","BodyFat","ME5",-0.412726276551707,0.00483919574900785,45,"**"
"475","BMI","ME5",-0.0745369052713724,0.626530280594627,45,""
"476","Waist_circumference","ME5",-0.0985142665300844,0.519688099252243,45,""
"477","SBP","ME5",0.166699911252716,0.273749276435211,45,""
"478","DBP","ME5",0.116604936726962,0.445579191966869,45,""
"479","Resting_HR","ME5",-0.199227942689236,0.189502788443374,45,""
"480","Max_HR","ME5",-0.102177386776378,0.504203746833933,45,""
"481","VO2peak","ME5",0.218327194979089,0.149636319746681,45,""
"482","VO2peak_kg_min","ME5",0.253259026287129,0.0932308979621371,45,""
"483","VO2peak_kgLM_min","ME5",0.00561536937947631,0.970796540123055,45,""
"484","RMR","ME5",0.167155388183126,0.278136115552213,44,""
"485","Fat_OX","ME5",-0.0398603435178808,0.797260672391112,44,""
"486","CHO_OX","ME5",0.181545756816047,0.238238193161147,44,""
"487","HOMA_IR","ME5",-0.410487428680203,0.00509832905615191,45,"**"
"488","Adipo_IR","ME5",-0.22368524902461,0.139651451422256,45,""
"489","Glucose","ME5",-0.361449849327203,0.0147053136717459,45,"*"
"490","Insulin","ME5",-0.346939639975667,0.0195491381648212,45,"*"
"491","NEFA","ME5",-0.0588689662949306,0.700885229254362,45,""
"492","Glycerol","ME5",-0.121425298349528,0.426863241719176,45,""
"493","Triglyceride","ME5",-0.102661306186362,0.507247715237525,44,""
"494","Lactate","ME5",-0.305318221452721,0.0414015023357328,45,"*"
"495","Cortisol","ME5",-0.347604241073997,0.0207786512226029,44,"*"
"496","IFNg","ME5",-0.123049518841287,0.420657969815143,45,""
"497","IL10","ME5",-0.110456123228895,0.480730509204349,43,""
"498","IL1b","ME5",-0.0697302211413858,0.648996797248224,45,""
"499","IL6","ME5",0.0919850691060491,0.588184158786441,37,""
"500","TNFa","ME5",-0.166661158717632,0.273862412475884,45,""
"501","FCS_mean","ME5",-0.079121413291716,0.605408895856684,45,""
"502","SR","ME5",0.0194862097534505,0.898900013306731,45,""
"503","CD14_per_adipocyte","ME5",-0.103853774700806,0.502300977003784,44,""
"504","CD206_per_adipocyte","ME5",-0.166046650069464,0.281381866927369,44,""
"505","Age","ME15",0.0517446573203221,0.735685635337363,45,""
"506","Sex","ME15",-0.179309174058055,0.238567180358354,45,""
"507","Bodyweight","ME15",0.0509694691562048,0.739505456866387,45,""
"508","Lean_mass","ME15",0.154539776609754,0.310765298372553,45,""
"509","Fat_mass","ME15",-0.158860342492187,0.297264859489641,45,""
"510","BodyFat","ME15",-0.194968295184675,0.199337731930996,45,""
"511","BMI","ME15",0.00397410784110695,0.97932991186622,45,""
"512","Waist_circumference","ME15",0.0270527547265537,0.859979053308658,45,""
"513","SBP","ME15",-0.00905910931174595,0.952903183977726,45,""
"514","DBP","ME15",0.0553581977109943,0.717963933518841,45,""
"515","Resting_HR","ME15",-0.224716773411736,0.137787349018566,45,""
"516","Max_HR","ME15",0.0536610107933173,0.726269789279081,45,""
"517","VO2peak","ME15",-0.00155729070353571,0.991899495962905,45,""
"518","VO2peak_kg_min","ME15",-0.0349453285207712,0.819729202616266,45,""
"519","VO2peak_kgLM_min","ME15",-0.309521996807031,0.0385440645427417,45,"*"
"520","RMR","ME15",0.114852665721376,0.457859559169998,44,""
"521","Fat_OX","ME15",0.209788725488422,0.171692671517183,44,""
"522","CHO_OX","ME15",-0.153076966870877,0.321183597774747,44,""
"523","HOMA_IR","ME15",-0.0817575809827935,0.593404942056509,45,""
"524","Adipo_IR","ME15",0.081547188190478,0.594359108377243,45,""
"525","Glucose","ME15",-0.117407425553277,0.442432460111793,45,""
"526","Insulin","ME15",-0.0911576470951881,0.551483679326532,45,""
"527","NEFA","ME15",0.0922696913787395,0.546618853417295,45,""
"528","Glycerol","ME15",0.177243140834734,0.244110039184695,45,""
"529","Triglyceride","ME15",0.0310426633593057,0.84145404878816,44,""
"530","Lactate","ME15",-0.509288505056251,0.000353031968914897,45,"***"
"531","Cortisol","ME15",-0.306939553467926,0.0427028840731502,44,"*"
"532","IFNg","ME15",0.220421644710905,0.145672536351719,45,""
"533","IL10","ME15",-0.0529709206262186,0.735849270127843,43,""
"534","IL1b","ME15",0.107010824943247,0.484137761369502,45,""
"535","IL6","ME15",0.0607329852203906,0.721035916254729,37,""
"536","TNFa","ME15",-0.0457690552888067,0.765287383249714,45,""
"537","FCS_mean","ME15",0.0792323868553186,0.604901460854601,45,""
"538","SR","ME15",0.108344642461294,0.478674953371108,45,""
"539","CD14_per_adipocyte","ME15",-0.0192449282226556,0.9013209915587,44,""
"540","CD206_per_adipocyte","ME15",0.00913031202250492,0.95309445653151,44,""
